epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,16356.3,0.51913,0.97989,0.64587,1.08029,0.9564,0.95835,0.9781,0.89203,0.9564,0.95835,0.9781,0.8443,0.43497,0.80233,0.34996,1.0361,0.0080695,0.0080695,0.0080695
80,16560.3,0.51518,0.93895,0.63658,1.07486,0.95774,0.94824,0.9858,0.88699,0.95774,0.94824,0.9858,0.84725,0.45085,0.79883,0.35288,1.05359,0.00804475,0.00804475,0.00804475
81,16762.1,0.52236,0.97669,0.66241,1.07616,0.95869,0.95004,0.98333,0.90182,0.95869,0.95004,0.98333,0.8497,0.42306,0.78127,0.34577,1.02629,0.00802,0.00802,0.00802
82,16972.9,0.512,0.97137,0.65699,1.07248,0.9375,0.94418,0.97949,0.88578,0.9375,0.94418,0.97949,0.84281,0.43929,0.79345,0.36696,1.04868,0.00799525,0.00799525,0.00799525
83,17180.1,0.52308,0.97581,0.64001,1.07769,0.94616,0.9551,0.98571,0.89856,0.94616,0.9551,0.98571,0.85032,0.43894,0.79528,0.35105,1.05409,0.0079705,0.0079705,0.0079705
84,17386.1,0.51404,0.97313,0.61821,1.07177,0.95287,0.94656,0.97978,0.89511,0.95287,0.94656,0.97978,0.84911,0.42516,0.77878,0.35468,1.03691,0.00794575,0.00794575,0.00794575
85,17588.1,0.51205,0.97027,0.64045,1.07026,0.95981,0.96125,0.987,0.89983,0.95981,0.96125,0.987,0.85824,0.43123,0.77316,0.32736,1.04899,0.007921,0.007921,0.007921
86,17791.2,0.50163,0.96391,0.61736,1.06645,0.94505,0.9273,0.97554,0.89298,0.94505,0.9273,0.9751,0.84471,0.42541,0.78096,0.39524,1.03174,0.00789625,0.00789625,0.00789625
87,17996.1,0.52012,0.98235,0.62352,1.07823,0.93319,0.96901,0.9836,0.8994,0.93319,0.96901,0.9836,0.852,0.42322,0.76315,0.34452,1.02903,0.0078715,0.0078715,0.0078715
88,18203.6,0.5107,0.95983,0.63771,1.07033,0.95388,0.95485,0.9815,0.89476,0.95388,0.95485,0.9815,0.84304,0.43191,0.79934,0.3445,1.04274,0.00784675,0.00784675,0.00784675
89,18408.2,0.50438,0.97262,0.61282,1.06729,0.9581,0.95409,0.98379,0.90571,0.9581,0.95409,0.98379,0.85083,0.41087,0.75792,0.33409,1.01895,0.007822,0.007822,0.007822
90,18612.9,0.50826,0.95215,0.61779,1.07034,0.94724,0.96694,0.97808,0.89563,0.94724,0.96694,0.97808,0.84865,0.41263,0.76706,0.34312,1.01345,0.00779725,0.00779725,0.00779725
91,18820.1,0.51234,0.96202,0.61462,1.06845,0.95258,0.95858,0.98341,0.90803,0.95258,0.95858,0.98341,0.85374,0.4095,0.75519,0.32734,1.00423,0.0077725,0.0077725,0.0077725
92,19025,0.50272,0.95575,0.60031,1.0696,0.96326,0.94652,0.97656,0.89691,0.96326,0.94652,0.97656,0.84818,0.42394,0.77542,0.3601,1.02476,0.00774775,0.00774775,0.00774775
93,19229,0.50814,0.94924,0.61823,1.06678,0.9466,0.95446,0.98392,0.90075,0.9466,0.95446,0.98392,0.85492,0.41974,0.7706,0.35435,1.02674,0.007723,0.007723,0.007723
94,19433.6,0.50717,0.94759,0.5993,1.06416,0.95673,0.95776,0.98671,0.90469,0.95673,0.95776,0.98671,0.85488,0.41536,0.7787,0.32176,1.02007,0.00769825,0.00769825,0.00769825
